IMPLEMENTATION,A_ROWS,RMSE
CUBLAS-DENSE,1000,0.004173033898546741
CUDA-DENSE,1000,0.003443050387608543
CUDA-SPARSE-80,1000,0.00024119089143471919
CUSPARSE-SPARSE-80,1000,0.00041658412339933037
CUBLAS-DENSE,1500,0.023057462500572546
CUDA-DENSE,1500,0.0405882065891182
CUDA-SPARSE-80,1500,0.001451538673721074
CUSPARSE-SPARSE-80,1500,0.009830226944869586
CUBLAS-DENSE,2000,0.06697243254508464
CUDA-DENSE,2000,0.030618401165047472
CUDA-SPARSE-80,2000,0.05117174247469954
CUSPARSE-SPARSE-80,2000,0.04953013151884599
CUBLAS-DENSE,2500,0.0006030341755639933
CUDA-DENSE,2500,0.0008307610085601802
CUDA-SPARSE-80,2500,0.001344167477092497
CUSPARSE-SPARSE-80,2500,0.0008550708157762597
CUBLAS-DENSE,3000,0.00033788000870129564
CUDA-DENSE,3000,0.0004097972333422347
CUDA-SPARSE-80,3000,0.00011645332320451266
CUSPARSE-SPARSE-80,3000,0.00013501102822510667
CUBLAS-DENSE,3500,0.0006029099004918125
CUDA-DENSE,3500,0.00014567482024735538
CUDA-SPARSE-80,3500,0.00040211305545831514
CUSPARSE-SPARSE-80,3500,0.00010402591986513318
CUBLAS-DENSE,4000,0.00013013377590471
CUDA-DENSE,4000,0.00034324130190370537
CUDA-SPARSE-80,4000,0.0003963311438547059
CUSPARSE-SPARSE-80,4000,0.0011916534889475012
CUBLAS-DENSE,4500,0.007389932582818507
CUDA-DENSE,4500,0.0009773741313335875
CUDA-SPARSE-80,4500,0.008532924709007135
CUSPARSE-SPARSE-80,4500,0.005752835419720735
CUBLAS-DENSE,5000,5.564940910038694e-05
CUDA-DENSE,5000,0.00017754272502718162
CUDA-SPARSE-80,5000,0.0005833169062905228
CUSPARSE-SPARSE-80,5000,5.5882499239674386e-05
CUBLAS-DENSE,5500,0.00012407750689324374
CUDA-DENSE,5500,0.0004231104090398931
CUDA-SPARSE-80,5500,0.00032850990456277456
CUSPARSE-SPARSE-80,5500,0.0003273674844795805
CUBLAS-DENSE,6000,0.0017262150287969005
CUDA-DENSE,6000,0.002366732083238212
CUDA-SPARSE-80,6000,0.001513652678890514
CUSPARSE-SPARSE-80,6000,0.0023028279022464858
CUBLAS-DENSE,6500,3.952132357999277e-05
CUDA-DENSE,6500,7.395538659856385e-05
CUDA-SPARSE-80,6500,6.774444717338111e-05
CUSPARSE-SPARSE-80,6500,0.00019682932766767615
CUBLAS-DENSE,7000,0.04927380008076547
CUDA-DENSE,7000,0.013102601998037295
CUDA-SPARSE-80,7000,0.011405017678993585
CUSPARSE-SPARSE-80,7000,0.06066094189336807
CUBLAS-DENSE,7500,0.023525343444447868
CUDA-DENSE,7500,0.022604635132693278
CUDA-SPARSE-80,7500,0.007575965767632377
CUSPARSE-SPARSE-80,7500,0.014348498449328962
CUBLAS-DENSE,8000,0.043946113358387454
CUDA-DENSE,8000,0.0022973919208271287
CUDA-SPARSE-80,8000,0.06865450750664764
CUSPARSE-SPARSE-80,8000,0.022158502268449447
