A_ROWS,scipy-lsqr,Cpp-DENSE,CUDA-DENSE,CUDA-SPARSE,CUBLAS-DENSE,CUSPARSE-SPARSE
1000,5.36911,9.03528,6.06791,2.25782,4.23762,2.57307
1500,13.91778,30.57563,16.30271,4.80371,11.05773,5.59088
2000,33.73029,72.58957,37.55610,9.31562,22.89881,10.27482
2500,75.45058,342.40522,71.61881,15.67865,42.03487,17.49148
3000,67.19402,602.61113,115.69176,25.07935,69.78010,27.93229
3500,86.04460,1031.17675,189.35206,37.92124,108.18631,42.33548
4000,115.40540,1524.24163,281.95625,55.00457,158.94691,61.39182
4500,152.97966,2117.63550,390.68038,76.19237,224.51022,85.30340
5000,221.17113,2979.51575,548.95388,102.28826,306.09594,115.30341
5500,347.02812,,721.66800,132.16242,400.06641,150.34353
6000,416.14977,,928.49088,172.34811,524.00603,197.15688
6500,508.41177,,1209.02975,218.11569,663.90925,250.62997
7000,649.83381,,1486.45062,269.35181,824.29088,310.20653
7500,844.21635,,1818.77300,330.60550,1011.73656,380.85144
8000,1392.32401,,2211.38200,398.40791,1226.46113,464.05978
8500,,,2650.12625,474.72984,1468.06038,559.47944
9000,,,3126.97725,560.89731,1740.42025,668.96362
9500,,,3703.03425,657.37138,2046.06525,838.99550
